TagName,Count
"javascript","2510972"
"python","2162008"
"java","1906089"
"c#","1601398"
"php","1461764"
"android","1409497"
"html","1180250"
"jquery","1034484"
"c++","798869"
"css","797792"
"ios","683185"
"sql","665031"
"mysql","661202"
"r","496613"
"node.js","466830"
"reactjs","465710"
"arrays","414766"
"c","399079"
"asp.net","373735"
"json","357960"
"python-3.x","341062"
"ruby-on-rails","337315"
".net","333813"
"sql-server","331896"
"swift","329921"
"django","309060"
"angular","299281"
"objective-c","292452"
"pandas","282843"
"excel","281899"
"angularjs","262787"
"regex","258926"
"ruby","228397"
"linux","226061"
"ajax","221904"
"typescript","221613"
"iphone","221329"
"xml","213775"
"vba","211298"
"spring","208702"
"laravel","208084"
"asp.net-mvc","200910"
"database","193843"
"wordpress","191625"
"string","183393"
"mongodb","174599"
"postgresql","171962"
"wpf","168897"
"flutter","168087"
"windows","166791"
"xcode","158769"
"amazon-web-services","154810"
"bash","154003"
"git","150148"
"oracle","149755"
"dataframe","143674"
"spring-boot","143171"
"firebase","141487"
"list","140640"
"vb.net","139808"
"multithreading","139166"
"azure","134275"
"react-native","133828"
"docker","133164"
"eclipse","124735"
"algorithm","119388"
"macos","116456"
"powershell","114499"
"visual-studio","113889"
"image","113505"
"forms","113270"
"numpy","112481"
"scala","111781"
"function","110371"
"api","107148"
"vue.js","105350"
"twitter-bootstrap","102997"
"selenium","101720"
"performance","101189"
"winforms","98358"
"loops","95843"
"python-2.7","95376"
"matlab","94593"
"hibernate","94278"
"express","94248"
"sqlite","94030"
"rest","92665"
"apache","92396"
"shell","91989"
"entity-framework","91477"
"kotlin","91039"
"dart","90488"
"android-studio","90012"
"csv","89606"
"maven","87627"
"linq","86142"
"facebook","85660"
"qt","85593"
"dictionary","85558"
"unit-testing","84762"
"tensorflow","82364"
"file","81192"
"apache-spark","81095"
"swing","81029"
"class","79352"
"asp.net-core","79059"
"sorting","76323"
"date","76185"
"unity-game-engine","75302"
"authentication","74922"
"symfony","73565"
".htaccess","72915"
"opencv","72729"
"tsql","72684"
"google-chrome","71967"
"for-loop","71492"
"matplotlib","71303"
"go","70688"
"datetime","70365"
"codeigniter","69561"
"http","67879"
"perl","67820"
"validation","67160"
"sockets","66255"
"google-maps","65879"
"object","64898"
"uitableview","64456"
"xaml","61979"
"oop","61861"
"if-statement","61703"
"cordova","61605"
"ubuntu","60820"
"web-services","60164"
"email","59268"
"android-layout","59114"
"spring-mvc","58288"
"elasticsearch","58010"
"kubernetes","57333"
"ms-access","57313"
"parsing","57220"
"user-interface","56892"
"github","56809"
"c++11","56486"
"visual-studio-code","56460"
"security","56174"
"pointers","56155"
"ruby-on-rails-3","56082"
"machine-learning","55241"
"nginx","54687"
"ggplot2","54496"
"selenium-webdriver","54467"
"templates","54454"
"flask","54068"
"variables","53839"
"sql-server-2008","53837"
"batch-file","53766"
"exception","53429"
"google-apps-script","53079"
"google-sheets","52687"
"listview","52603"
"jsp","52210"
"debugging","51830"
"jpa","51422"
"delphi","51211"
"tkinter","51180"
"gradle","51043"
"asynchronous","50995"
"pdf","50972"
"haskell","50851"
"wcf","50818"
"ssl","50662"
"xamarin","50490"
"jenkins","50386"
"amazon-s3","49879"
"testing","49776"
"web-scraping","49536"
"npm","49337"
"generics","49056"
"ionic-framework","48463"
"web","47790"
"unix","47509"
"google-cloud-platform","47450"
"google-app-engine","46961"
"visual-studio-2010","46748"
"recursion","46639"
"mongoose","46587"
"android-fragments","45668"
"session","44567"
"animation","44523"
"hadoop","44316"
".net-core","43877"
"curl","43780"
"heroku","43716"
"math","43708"
"laravel-5","43708"
"url","43477"
"svg","43459"
"django-models","43372"
"join","43295"
"assembly","43242"
"tomcat","43039"
"intellij-idea","42912"
"webpack","42504"
"redirect","42493"
"asp.net-mvc-4","42411"
"inheritance","42250"
"keras","42247"
"winapi","42239"
"image-processing","41963"
"google-cloud-firestore","41623"
"dom","41378"
"actionscript-3","41246"
"logging","41059"
"gcc","40905"
"matrix","40841"
"post","40747"
"button","40417"
"firebase-realtime-database","40037"
"jquery-ui","39788"
"cocoa","39610"
"d3.js","39257"
"internet-explorer","39115"
"xpath","39115"
"pyspark","39058"
"iis","38900"
"optimization","38871"
"firefox","38740"
"rust","38522"
"asp.net-mvc-3","38473"
"select","38465"
"networking","38405"
"xslt","38236"
"javafx","38047"
"opengl","37973"
"caching","37958"
"events","37891"
"magento","37819"
"asp.net-web-api","37671"
"plot","37452"
"search","37207"
"encryption","36876"
"stored-procedures","36817"
"ruby-on-rails-4","36770"
"amazon-ec2","36510"
"dplyr","36044"
"audio","35990"
"canvas","35912"
"memory","35878"
"jsf","35737"
"swiftui","35593"
"redux","35457"
"multidimensional-array","35247"
"random","35221"
"flash","35017"
"vector","35006"
"next.js","35004"
"facebook-graph-api","34984"
"input","34931"
"cookies","34843"
"ipad","34728"
"cocoa-touch","34585"
"arraylist","34508"
"xamarin.forms","34439"
"video","34049"
"indexing","33955"
"model-view-controller","33635"
"data-structures","33477"
"servlets","33264"
"serialization","33160"
"jdbc","33118"
"mod-rewrite","33051"
"razor","33007"
"routes","32975"
"woocommerce","32907"
"awk","32722"
"iframe","32625"
"beautifulsoup","32305"
"filter","32012"
"design-patterns","31951"
"apache-kafka","31865"
"text","31743"
"cakephp","31696"
"visual-c++","31430"
"django-rest-framework","31358"
"android-intent","30913"
"aws-lambda","30649"
"mobile","30536"
"docker-compose","30464"
"excel-formula","30321"
"methods","30291"
"struct","30239"
"azure-devops","30055"
"ssh","29979"
"mvvm","29966"
"react-hooks","29937"
"ecmascript-6","29895"
"groovy","29887"
"grails","29868"
"checkbox","29830"
"lambda","29774"
"time","29686"
"jakarta-ee","29439"
"installation","29354"
"google-chrome-extension","29271"
"android-recyclerview","29237"
"meteor","29096"
"sharepoint","29091"
"core-data","29072"
"android-activity","28992"
"bootstrap-4","28801"
"graph","28721"
"activerecord","28653"
"sed","28570"
"plsql","28559"
"types","28480"
"shiny","28422"
"spring-security","28335"
"file-upload","28071"
"scikit-learn","28024"
"vim","27998"
"websocket","27923"
"replace","27903"
"junit","27795"
"soap","27664"
"boost","27545"
"group-by","27499"
"cmake","27471"
"deep-learning","27406"
"memory-management","27281"
"import","27281"
"sass","27250"
"silverlight","27234"
"dynamic","27209"
"eloquent","26966"
"error-handling","26959"
"gridview","26809"
"layout","26721"
"svn","26703"
"async-await","26583"
"browser","26553"
"apache-spark-sql","26508"
"charts","26456"
"cmd","26386"
"vuejs2","26324"
"dependency-injection","26300"
"while-loop","26278"
"ffmpeg","26084"
"view","25981"
"deployment","25961"
"dll","25858"
"c#-4.0","25854"
"highcharts","25763"
"foreach","25613"
"plugins","25574"
"reporting-services","25475"
"twitter","25293"
"google-bigquery","25130"
"makefile","25125"
"server","25074"
"google-maps-api-3","25067"
"https","25003"
"mysqli","24962"
"redis","24955"
"merge","24925"
"unicode","24916"
"reflection","24902"
"extjs","24873"
"jupyter-notebook","24660"
"axios","24271"
"split","24261"
"encoding","24174"
"netbeans","24163"
"terminal","24127"
"django-views","24045"
"database-design","23982"
"ember.js","23976"
"collections","23956"
"apache-flex","23926"
"pdo","23916"
"hash","23903"
"oauth-2.0","23805"
"data-binding","23688"
"tcp","23633"
"automation","23535"
"command-line","23435"
"react-redux","23349"
"pip","23287"
"printing","23212"
"build","23199"
"service","23127"
"ansible","23075"
"java-8","23031"
"sqlalchemy","22992"
"visual-studio-2012","22960"
"html-table","22957"
"jestjs","22701"
"neo4j","22696"
"parameters","22681"
"pytorch","22623"
"jquery-mobile","22598"
"module","22551"
"concurrency","22520"
"promise","22514"
"webview","22469"
"web-applications","22465"
"spring-data-jpa","22458"
"lua","22266"
"uwp","22264"
"enums","22254"
"datatable","22197"
"utf-8","22178"
"material-ui","22107"
"outlook","22017"
"flexbox","21882"
"drop-down-menu","21877"
"hive","21846"
"tfs","21756"
"python-requests","21751"
"scroll","21707"
"firebase-authentication","21673"
"colors","21650"
"twitter-bootstrap-3","21474"
"count","21460"
"syntax","21432"
"parallel-processing","21345"
"google-analytics","21301"
"entity-framework-core","21229"
"ssis","21143"
"scipy","21123"
"file-io","21104"
"paypal","20989"
"fonts","20971"
"ms-word","20967"
"constructor","20916"
"gwt","20828"
"graphql","20808"
"three.js","20803"
"socket.io","20688"
"datatables","20644"
"backbone.js","20627"
"cassandra","20596"
"rxjs","20563"
"solr","20557"
"graphics","20510"
"discord","20501"
"url-rewriting","20479"
"zend-framework","20405"
"drupal","20355"
"datagridview","20349"
"oracle11g","20282"
"knockout.js","20270"
"compiler-errors","20222"
"nlp","20185"
"react-router","20178"
"memory-leaks","20175"
"oauth","20112"
"django-forms","20047"
"neural-network","19989"
"interface","19932"
"casting","19752"
"linked-list","19730"
"google-api","19708"
"triggers","19684"
"parse-platform","19680"
"windows-phone-7","19662"
"proxy","19642"
"visual-studio-2015","19634"
"timer","19566"
"directory","19503"
"django-templates","19491"
"pygame","19430"
"cron","19423"
"path","19410"
"orm","19303"
"primefaces","19281"
"angular-material","19273"
"arduino","19255"
"push-notification","19151"
"conditional-statements","19093"
"jmeter","19057"
"model","18996"
"functional-programming","18902"
"jar","18886"
"visual-studio-2013","18770"
"xamarin.android","18757"
"vbscript","18718"
"uiview","18705"
"hyperlink","18617"
"powerbi","18477"
"swift3","18453"
"download","18430"
"sql-server-2005","18391"
"windows-phone-8","18215"
"rspec","18192"
"process","18168"
"properties","18121"
"terraform","18121"
"callback","18062"
"combobox","18062"
"configuration","18012"
"scrapy","17743"
"safari","17726"
"emacs","17686"
"pagination","17657"
"scripting","17656"
"gitlab","17630"
"clojure","17607"
"permissions","17586"
"google-cloud-functions","17585"
"angularjs-directive","17531"
"scope","17524"
"nhibernate","17517"
"raspberry-pi","17501"
"io","17482"
"azure-active-directory","17474"
"request","17442"
"linux-kernel","17371"
"jwt","17340"
"responsive-design","17320"
"mongodb-query","17312"
"playframework","17266"
"compilation","17181"
"doctrine-orm","17177"
"binding","17170"
"bluetooth","17156"
"dns","17147"
"get","17143"
"version-control","17112"
"3d","17108"
"architecture","17088"
"reference","17086"
"discord.js","17081"
"sql-server-2012","17074"
"pyqt","16996"
"x86","16952"
"rubygems","16886"
"f#","16860"
"package","16844"
"kendo-ui","16785"
"yii","16776"
"autocomplete","16719"
"datepicker","16716"
"pycharm","16686"
"tree","16659"
"controller","16598"
"xamarin.ios","16577"
"grep","16456"
"phpmyadmin","16409"
"jackson","16401"
"nested","16389"
"openssl","16384"
"static","16364"
"statistics","16319"
"uiviewcontroller","16290"
"datagrid","16230"
"null","16208"
"active-directory","16153"
"webforms","16100"
"transactions","16096"
"notifications","15974"
"youtube","15964"
"nullpointerexception","15961"
"menu","15814"
"duplicates","15777"
"jsf-2","15731"
"stream","15725"
"bitmap","15713"
"discord.py","15695"
"visual-studio-2008","15670"
"asp.net-mvc-5","15661"
"sas","15658"
"mocking","15654"
"android-listview","15569"
"computer-vision","15559"
"yii2","15456"
"ant","15413"
"stl","15390"
"sum","15351"
"azure-functions","15299"
"yaml","15259"
"css-selectors","15251"
"hashmap","15203"
"dockerfile","15194"
"time-series","15192"
"jboss","15135"
"character-encoding","15132"
"electron","15116"
"joomla","15106"
"devise","15025"
"floating-point","15006"
"sdk","14941"
"msbuild","14915"
"cryptography","14876"
"background","14810"
"linq-to-sql","14803"
"anaconda","14777"
"frontend","14756"
"google-drive-api","14746"
"expo","14725"
"binary","14710"
"camera","14695"
